Trust Code,Trust Type,PHE Centre,Trust Name,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18
REM,FT,North West,Aintree University Hospital,23,23,19,31,28,26,25,26,21,24,22,25,26
RCF,FT,Yorkshire and Humber,Airedale,12,16,13,14,12,5,16,12,8,17,10,20,24
RBS,FT,North West,Alder Hey Children's,0,1,2,2,4,1,1,2,1,4,3,1,2
RTK,FT,South East,Ashford & St Peter's Hospitals,16,21,28,28,28,16,28,30,24,15,15,13,14
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",33,42,43,39,40,40,45,42,34,45,44,42,29
RFF,FT,Yorkshire and Humber,Barnsley Hospital,12,11,15,17,13,17,20,16,16,13,17,14,18
R1H,--,London,Barts Health,54,69,55,56,64,56,52,53,66,47,45,68,47
RDD,FT,East of England,Basildon & Thurrock University Hospitals,18,22,19,16,23,33,30,23,25,13,21,22,22
RC1,--,East of England,Bedford Hospital,12,12,12,13,15,11,18,11,14,13,17,18,12
RQ3,FT,West Midlands,Birmingham Women's and Children's,2,8,3,6,4,1,7,2,8,1,1,2,4
RXL,FT,North West,Blackpool Teaching Hospitals,21,21,22,32,19,24,22,28,24,22,18,17,24
RMC,FT,North West,Bolton,24,21,25,32,26,22,23,24,26,25,22,20,28
RAE,FT,Yorkshire and Humber,Bradford Teaching Hospitals,14,15,17,21,23,28,20,23,24,20,26,34,20
RXH,--,South East,Brighton & Sussex University Hospitals,22,20,34,37,33,26,21,26,23,22,18,30,26
RXQ,--,South East,Buckinghamshire Healthcare,17,14,19,18,25,26,21,24,16,16,15,19,23
RJF,FT,West Midlands,Burton Hospitals,8,11,14,8,7,10,7,8,15,4,15,10,11
RWY,FT,Yorkshire and Humber,Calderdale & Huddersfield,21,25,29,38,29,37,27,31,21,25,22,25,27
RGT,FT,East of England,Cambridge University Hospitals,32,22,33,32,35,30,31,30,26,32,19,28,25
RQM,FT,London,Chelsea & Westminster Hospital,22,28,21,23,44,27,31,36,31,28,23,31,34
RFS,FT,East Midlands,Chesterfield Royal Hospital,26,26,22,31,13,30,28,22,21,26,19,21,19
RLN,FT,North East,City Hospitals Sunderland,24,22,23,29,33,27,24,25,26,28,26,23,31
RDE,FT,East of England,Colchester Hospital University,16,25,27,26,38,28,28,27,16,19,24,26,28
RJR,FT,North West,Countess of Chester Hospital,17,13,11,14,19,13,24,15,12,20,16,13,13
RXP,FT,North East,County Durham & Darlington,28,41,32,33,37,25,25,34,25,30,12,35,33
RJ6,--,London,Croydon Health Services,15,10,21,34,11,25,22,21,21,13,19,15,18
RN7,--,South East,Dartford & Gravesham,23,24,20,32,20,23,18,25,18,17,18,25,20
RTG,FT,East Midlands,Derby Teaching Hospitals,37,32,37,40,44,31,35,42,62,38,28,45,35
RP5,FT,Yorkshire and Humber,Doncaster & Bassetlaw Hospitals,19,36,23,28,31,32,20,23,31,27,30,22,27
RBD,FT,South West,Dorset County Hospital,16,12,8,10,12,6,16,10,12,18,10,7,8
RWH,--,East of England,East & North Hertfordshire,23,27,18,24,30,29,24,14,10,21,32,17,20
RJN,--,North West,East Cheshire,14,13,12,10,16,15,11,12,7,10,11,8,9
RVV,FT,South East,East Kent Hospitals University,47,57,47,48,52,56,46,55,43,49,34,51,41
RXR,--,North West,East Lancashire Hospitals,44,42,39,33,37,28,27,30,31,21,23,38,35
