Trust Code,Trust Type,PHE Centre,Trust Name,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17
REM,FT,North West,Aintree University Hospital,34,26,33,25,30,24,18,26,23,23,19,31,28
RCF,FT,Yorkshire and Humber,Airedale,7,14,13,7,13,11,13,13,12,16,13,14,12
RBS,FT,North West,Alder Hey Children's,3,1,0,1,0,2,6,5,0,1,2,2,4
RTK,FT,South East,Ashford & St Peter's Hospitals,26,26,28,23,21,17,10,17,16,21,28,28,28
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",46,48,41,26,39,31,32,40,33,42,43,39,26
RFF,FT,Yorkshire and Humber,Barnsley Hospital,26,17,21,14,18,16,14,16,12,11,15,17,13
R1H,--,London,Barts Health,73,62,62,56,56,52,65,73,54,69,55,56,64
RDD,FT,East of England,Basildon & Thurrock University Hospitals,19,24,25,29,21,11,17,21,18,22,19,16,23
RC1,--,East of England,Bedford Hospital,18,11,13,16,16,13,12,16,12,12,12,13,15
RQ3,FT,West Midlands,Birmingham Women's and Children's,3,3,2,4,4,4,0,7,2,8,3,6,4
RXL,FT,North West,Blackpool Teaching Hospitals,22,20,20,23,16,24,29,28,21,21,22,32,19
RMC,FT,North West,Bolton,26,19,28,19,29,22,22,24,24,21,25,32,26
RAE,FT,Yorkshire and Humber,Bradford Teaching Hospitals,43,23,16,25,18,19,15,16,14,15,17,21,23
RXH,--,South East,Brighton & Sussex University Hospitals,27,26,18,23,24,17,19,22,22,20,34,37,33
RXQ,--,South East,Buckinghamshire Healthcare,23,18,16,26,17,17,18,18,17,14,19,18,25
RJF,FT,West Midlands,Burton Hospitals,12,10,12,14,5,9,7,13,8,11,14,8,7
RWY,FT,Yorkshire and Humber,Calderdale & Huddersfield,19,25,32,23,26,28,18,21,21,25,29,38,29
RGT,FT,East of England,Cambridge University Hospitals,38,22,29,24,34,20,29,23,32,22,33,32,35
RW3,FT,North West,Central Manchester University Hospitals,24,26,29,28,27,19,20,22,15,18,22,23,20
RQM,FT,London,Chelsea & Westminster Hospital,28,23,26,26,19,29,26,28,22,28,21,23,44
RFS,FT,East Midlands,Chesterfield Royal Hospital,22,20,25,14,27,21,20,15,26,26,22,31,13
RLN,FT,North East,City Hospitals Sunderland,29,27,29,19,24,23,29,27,24,22,23,29,33
RDE,FT,East of England,Colchester Hospital University,31,31,31,17,19,21,19,26,16,25,27,26,38
RJR,FT,North West,Countess of Chester Hospital,25,25,18,13,13,11,12,14,17,13,11,14,19
RXP,FT,North East,County Durham & Darlington,41,38,33,24,27,36,32,21,28,41,32,33,37
RJ6,--,London,Croydon Health Services,14,13,18,23,20,14,14,24,15,10,21,34,11
RN7,--,South East,Dartford & Gravesham,21,19,16,12,22,18,23,14,23,24,20,32,20
RTG,FT,East Midlands,Derby Teaching Hospitals,37,43,54,36,30,45,32,37,37,32,37,40,44
RP5,FT,Yorkshire and Humber,Doncaster & Bassetlaw Hospitals,40,38,24,26,29,32,29,22,19,36,23,28,31
RBD,FT,South West,Dorset County Hospital,17,9,4,9,9,11,8,13,16,12,8,10,12
RWH,--,East of England,East & North Hertfordshire,20,23,30,24,22,26,19,17,23,27,18,24,30
RJN,--,North West,East Cheshire,12,18,16,13,8,19,5,13,14,13,12,10,16
RVV,FT,South East,East Kent Hospitals University,51,44,51,53,54,52,45,61,47,57,47,48,52
RXR,--,North West,East Lancashire Hospitals,40,34,35,34,33,31,46,37,44,42,39,33,37
RXC,--,South East,East Sussex Healthcare,32,27,31,28,29,33,23,33,32,32,32,39,41
RVR,--,London,Epsom & St Helier University Hospitals,26,22,24,19,19,26,23,17,18,18,23,23,29
RDU,FT,South East,Frimley Health,56,56,60,39,62,40,48,51,62,53,57,72,67
RR7,FT,North East,Gateshead Health,12,18,16,12,16,13,19,18,17,29,14,20,22
RLT,--,West Midlands,George Eliot Hospital,14,8,14,9,12,20,12,5,18,8,12,8,10
RTE,FT,South West,Gloucestershire Hospitals,30,21,23,13,13,16,23,27,27,15,20,17,24
RP4,FT,London,Great Ormond Street Hospital for Children,2,0,3,0,2,1,1,1,3,1,2,2,1
RN3,FT,South West,Great Western Hospitals,31,22,26,21,22,17,20,18,19,19,23,17,24
RJ1,FT,London,Guy's & St. Thomas',27,19,16,25,14,20,24,35,17,33,24,23,35
RN5,FT,South East,Hampshire Hospitals,25,21,12,23,20,18,15,24,20,10,23,21,25
RCD,FT,Yorkshire and Humber,Harrogate & District,11,14,12,7,15,12,12,13,10,12,13,16,18
RR1,FT,West Midlands,Heart of England,53,48,40,50,42,48,52,44,42,56,53,59,47
RQX,FT,London,Homerton University Hospital,13,12,19,12,4,10,8,7,13,10,9,10,10
RWA,--,Yorkshire and Humber,Hull & East Yorkshire Hospitals,50,38,47,39,29,25,38,37,29,31,43,33,43
RYJ,--,London,Imperial College Healthcare,32,32,38,30,21,34,36,25,36,25,34,28,34
RGQ,--,East of England,Ipswich Hospital,19,14,23,19,14,16,8,21,27,21,23,12,17
R1F,--,South East,Isle of Wight,9,14,9,13,11,11,11,11,9,10,11,8,12
RGP,FT,East of England,James Paget University Hospitals,16,19,24,16,9,13,19,10,19,23,20,11,18
RNQ,FT,East Midlands,Kettering General Hospital,24,19,11,22,29,19,17,18,23,20,20,23,28
RJZ,FT,London,King's College Hospital,35,59,41,43,36,26,41,40,40,41,39,34,41
RAX,FT,London,Kingston Hospital,12,14,10,12,17,15,16,12,14,14,13,13,22
RXN,FT,North West,Lancashire Teaching Hospitals,23,32,26,16,18,28,24,23,36,26,30,25,36
RR8,--,Yorkshire and Humber,Leeds Teaching Hospitals,59,19,37,68,64,54,67,63,56,48,45,50,53
RJ2,--,London,Lewisham & Greenwich,50,32,40,36,31,25,24,37,26,33,38,32,41
RBQ,FT,North West,Liverpool Heart & Chest Hospital,1,0,1,0,1,3,0,1,1,1,2,0,0
REP,FT,North West,Liverpool Women's,1,1,3,5,3,6,0,2,1,3,1,1,1
R1K,--,London,London North West Healthcare,40,42,38,38,32,40,42,41,39,30,49,43,50
RC9,FT,East of England,Luton & Dunstable University Hospital,18,15,12,17,21,17,13,20,13,12,22,13,23
RWF,--,South East,Maidstone & Tunbridge Wells,32,32,29,23,23,25,33,41,23,30,31,40,37
RPA,FT,South East,Medway,32,27,28,21,24,24,24,27,23,19,32,26,25
