Trust Code,Trust Type,PHE Centre,Trust Name,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17
REM,FT,North West,Aintree University Hospital,34,34,26,33,25,30,24,18,26,23,23,19,31
RCF,FT,Yorkshire And Humber,Airedale,10,7,14,13,7,13,11,13,13,12,15,13,14
RBS,FT,North West,Alder Hey Children's,0,3,1,0,1,0,2,6,5,0,1,2,2
RTK,FT,South East,Ashford & St Peter's Hospitals,14,26,26,28,23,21,17,10,17,16,21,28,28
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",38,46,48,41,26,39,31,32,40,33,42,43,39
RFF,FT,Yorkshire And Humber,Barnsley Hospital,17,26,17,21,14,18,16,14,16,12,11,15,17
R1H,--,London,Barts Health,57,73,62,62,56,56,52,65,73,54,69,55,56
RDD,FT,East Of England,Basildon & Thurrock University Hospitals,23,19,24,25,29,21,11,17,21,18,22,19,16
RC1,--,East Of England,Bedford Hospital,9,18,11,13,16,16,13,12,16,12,12,12,13
RQ3,FT,West Midlands,Birmingham Women's and Children's,4,3,3,2,4,4,4,0,7,2,8,3,6
RXL,FT,North West,Blackpool Teaching Hospitals,22,22,20,20,23,16,24,29,28,21,21,22,32
RMC,FT,North West,Bolton,27,26,19,28,19,29,22,22,24,24,21,25,32
RAE,FT,Yorkshire And Humber,Bradford Teaching Hospitals,24,43,23,16,25,18,19,15,16,14,15,17,21
RXH,--,South East,Brighton & Sussex University Hospitals,20,27,26,18,23,24,17,19,22,22,20,34,37
RXQ,--,South East,Buckinghamshire Healthcare,27,23,18,16,26,17,17,18,18,17,14,19,18
RJF,FT,West Midlands,Burton Hospitals,9,12,10,12,14,5,9,7,13,8,11,14,8
RWY,FT,Yorkshire And Humber,Calderdale & Huddersfield,29,19,25,32,23,26,28,18,21,21,25,29,38
RGT,FT,East Of England,Cambridge University Hospitals,20,38,22,29,24,34,20,29,23,32,22,33,32
RW3,FT,North West,Central Manchester University Hospitals,32,24,26,29,28,27,19,20,22,15,18,22,23
RQM,FT,London,Chelsea & Westminster Hospital,28,28,23,26,26,19,29,26,28,22,28,21,23
RFS,FT,East Midlands,Chesterfield Royal Hospital,26,22,20,25,14,27,21,20,15,26,26,22,31
RLN,FT,North East,City Hospitals Sunderland,25,29,27,29,19,24,23,29,27,24,22,23,29
RDE,FT,East Of England,Colchester Hospital University,23,31,31,31,17,19,21,19,26,16,25,27,26
RJR,FT,North West,Countess of Chester Hospital,17,25,25,18,13,13,11,12,14,17,13,11,14
RXP,FT,North East,County Durham & Darlington,45,41,38,33,24,26,36,32,21,28,41,32,33
RJ6,--,London,Croydon Health Services,20,14,13,18,23,20,14,14,24,15,10,21,34
RN7,--,South East,Dartford & Gravesham,10,21,19,16,12,22,18,23,14,23,24,20,32
RTG,FT,East Midlands,Derby Hospitals,41,37,43,54,36,30,45,32,37,37,32,37,40
RP5,FT,Yorkshire And Humber,Doncaster & Bassetlaw Hospitals,41,40,38,24,26,29,32,29,22,19,36,23,28
RBD,FT,South West,Dorset County Hospital,15,17,9,4,9,9,11,8,13,16,12,8,10
RWH,--,East Of England,East & North Hertfordshire,25,20,23,30,24,22,26,19,17,23,27,18,24
RJN,--,North West,East Cheshire,15,12,18,16,13,8,19,5,13,14,13,12,10
RVV,FT,South East,East Kent Hospitals University,52,51,44,51,53,54,52,45,61,47,57,47,48
RXR,--,North West,East Lancashire Hospitals,30,40,34,35,34,33,31,46,37,44,42,39,33
RXC,--,South East,East Sussex Healthcare,27,32,27,31,28,29,33,23,33,32,32,32,39
RVR,--,London,Epsom & St Helier University Hospitals,28,26,22,24,19,19,26,23,17,18,18,23,23
RDU,FT,South East,Frimley Health,54,56,56,60,39,62,40,48,51,62,53,57,72
RR7,FT,North East,Gateshead Health,14,12,18,16,12,16,13,19,18,17,29,14,19
RLT,--,West Midlands,George Eliot Hospital,18,14,8,14,9,12,20,12,5,18,8,12,8
RTE,FT,South West,Gloucestershire Hospitals,30,30,21,23,13,13,16,23,27,27,15,20,17
RP4,FT,London,Great Ormond Street Hospital for Children,4,2,0,3,0,2,1,1,1,3,1,2,2
RN3,FT,South West,Great Western Hospitals,23,31,22,26,21,22,17,20,18,19,19,23,17
RJ1,FT,London,Guy's & St. Thomas',19,27,19,16,25,14,20,24,35,17,33,24,23
RN5,FT,South East,Hampshire Hospitals,23,25,21,12,23,20,18,15,24,20,10,23,21
RCD,FT,Yorkshire And Humber,Harrogate & District,9,11,14,12,7,15,12,12,13,10,12,13,16
RR1,FT,West Midlands,Heart of England,52,53,48,40,50,42,48,52,44,42,56,53,59
RQX,FT,London,Homerton University Hospital,11,13,12,19,12,4,10,8,7,13,10,9,10
RWA,--,Yorkshire And Humber,Hull & East Yorkshire Hospitals,34,50,38,47,39,29,25,38,37,29,31,43,33
RYJ,--,London,Imperial College Healthcare,34,32,32,38,30,21,34,36,25,36,25,34,28
RGQ,--,East Of England,Ipswich Hospital,23,19,14,23,19,14,16,8,21,27,21,23,12
R1F,--,South East,Isle of Wight,11,9,14,9,13,11,11,11,11,9,10,11,8
RGP,FT,East Of England,James Paget University Hospitals,18,16,19,24,16,9,13,19,10,19,23,20,11
RNQ,FT,East Midlands,Kettering General Hospital,24,24,19,11,22,29,19,17,18,23,20,20,23
RJZ,FT,London,King's College Hospital,45,35,59,41,43,36,26,41,40,40,41,39,34
RAX,FT,London,Kingston Hospital,20,12,14,10,12,17,15,16,12,14,14,12,6
RXN,FT,North West,Lancashire Teaching Hospitals,29,23,32,26,16,18,28,24,23,36,26,30,25
RR8,--,Yorkshire And Humber,Leeds Teaching Hospitals,64,59,19,37,68,64,54,67,63,56,48,45,49
RJ2,--,London,Lewisham & Greenwich,39,50,32,40,36,31,25,24,37,26,33,38,32
RBQ,FT,North West,Liverpool Heart & Chest Hospital,2,1,0,1,0,1,3,0,1,1,1,2,0
REP,FT,North West,Liverpool Women's,1,1,1,3,5,3,6,0,2,1,3,1,1
R1K,--,London,London North West Healthcare,45,40,42,38,38,32,40,42,41,39,30,49,43
RC9,FT,East Of England,Luton & Dunstable University Hospital,18,18,15,12,17,21,17,13,20,13,12,22,12
RWF,--,South East,Maidstone & Tunbridge Wells,32,32,32,29,23,23,24,33,40,23,30,31,40
RPA,FT,South East,Medway,24,32,27,28,21,24,24,24,27,23,19,32,26
RBT,FT,North West,Mid Cheshire Hospitals,11,17,20,10,9,17,11,15,20,19,31,16,24
RQ8,--,East Of England,Mid Essex Hospital Services,16,24,16,17,15,14,16,21,17,16,17,18,21
RXF,--,Yorkshire And Humber,Mid Yorkshire Hospitals,36,29,31,42,32,34,35,23,32,35,29,32,42
RD8,FT,East Of England,Milton Keynes University Hospital,20,21,14,21,20,15,15,21,18,21,13,12,27
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East Of England,Norfolk & Norwich University Hospitals,40,41,24,34,33,29,26,23,36,29,24,36,27
