Trust Code,Trust Type,PHE Centre,Trust Name,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
REM,FT,North West,Aintree University Hospital,30,24,18,26,23,23,19,31,28,26,25,26,21
RCF,FT,Yorkshire and Humber,Airedale,13,11,13,13,12,16,13,14,12,5,16,12,8
RBS,FT,North West,Alder Hey Children's,0,2,6,5,0,1,2,2,4,1,1,2,1
RTK,FT,South East,Ashford & St Peter's Hospitals,21,17,10,17,16,21,28,28,28,17,28,30,24
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",39,31,32,40,33,42,43,39,37,40,45,27,33
RFF,FT,Yorkshire and Humber,Barnsley Hospital,18,16,14,16,12,11,15,17,13,17,20,16,16
R1H,--,London,Barts Health,56,52,65,73,54,69,55,56,64,56,52,53,66
RDD,FT,East of England,Basildon & Thurrock University Hospitals,21,11,17,21,18,22,19,16,23,33,30,23,25
RC1,--,East of England,Bedford Hospital,16,13,12,16,12,12,12,13,15,11,18,11,14
RQ3,FT,West Midlands,Birmingham Women's and Children's1,4,4,0,7,2,8,3,6,4,1,7,2,8
RXL,FT,North West,Blackpool Teaching Hospitals,16,24,29,28,21,21,22,32,19,24,22,28,24
RMC,FT,North West,Bolton,29,22,22,24,24,21,25,32,26,22,23,24,26
RAE,FT,Yorkshire and Humber,Bradford Teaching Hospitals,18,19,15,16,14,15,17,21,23,28,20,23,24
RXH,--,South East,Brighton & Sussex University Hospitals,24,17,19,22,22,20,34,37,33,26,21,26,23
RXQ,--,South East,Buckinghamshire Healthcare,17,17,18,18,17,14,19,18,25,26,21,24,16
RJF,FT,West Midlands,Burton Hospitals,5,9,7,13,8,11,14,8,7,10,7,8,15
RWY,FT,Yorkshire and Humber,Calderdale & Huddersfield,26,28,18,21,21,25,29,38,29,37,27,31,21
RGT,FT,East of England,Cambridge University Hospitals,34,20,29,23,32,22,33,32,35,30,31,30,26
RQM,FT,London,Chelsea & Westminster Hospital,19,29,26,28,22,28,21,23,44,27,31,36,31
RFS,FT,East Midlands,Chesterfield Royal Hospital,27,21,20,15,26,26,22,31,13,30,28,22,21
RLN,FT,North East,City Hospitals Sunderland,24,23,29,27,24,22,23,29,33,27,24,25,26
RDE,FT,East of England,Colchester Hospital University,19,21,19,26,16,25,27,26,38,28,28,27,16
RJR,FT,North West,Countess of Chester Hospital,13,11,12,14,17,13,11,14,19,13,24,15,12
RXP,FT,North East,County Durham & Darlington,27,36,32,21,28,41,32,33,37,25,25,34,25
RJ6,--,London,Croydon Health Services,20,14,14,24,15,10,21,34,11,25,22,21,21
RN7,--,South East,Dartford & Gravesham,22,18,23,14,23,24,20,32,20,22,18,25,18
RTG,FT,East Midlands,Derby Teaching Hospitals,30,45,32,37,37,32,37,40,44,31,35,42,62
RP5,FT,Yorkshire and Humber,Doncaster & Bassetlaw Hospitals,29,32,29,22,19,36,23,28,31,32,20,23,31
RBD,FT,South West,Dorset County Hospital,9,11,8,13,16,12,8,10,12,6,16,10,12
RWH,--,East of England,East & North Hertfordshire,22,26,19,17,23,27,18,24,30,29,24,14,10
RJN,--,North West,East Cheshire,8,19,5,13,14,13,12,10,16,15,11,12,7
RVV,FT,South East,East Kent Hospitals University,54,52,45,61,47,57,47,48,52,56,46,55,43
RXR,--,North West,East Lancashire Hospitals,33,31,46,37,44,42,39,33,37,28,27,30,31
RXC,--,South East,East Sussex Healthcare,29,33,23,33,33,32,32,39,41,35,29,32,30
RVR,--,London,Epsom & St Helier University Hospitals,19,26,23,17,18,18,23,23,29,15,22,20,24
RDU,FT,South East,Frimley Health,62,40,48,51,62,53,57,72,67,57,72,63,58
