Trust Code,Trust Type,PHE Centre,Trust Name,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17
REM,FT,North West,Aintree University Hospital,24,16,34,34,26,33,25,30,24,18,26,23,23
RCF,FT,Yorkshire And Humber,Airedale,12,15,10,7,14,13,7,13,11,13,13,12,15
RBS,FT,North West,Alder Hey Children's,4,2,0,3,1,0,1,0,2,6,5,0,1
RTK,FT,South East,Ashford & St Peter's Hospitals,19,26,14,26,26,28,23,21,17,10,17,16,21
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",41,51,38,46,48,41,26,39,31,32,39,33,42
RFF,FT,Yorkshire And Humber,Barnsley Hospital,16,15,17,26,17,21,14,18,16,14,16,12,11
R1H,--,London,Barts Health,60,74,57,73,62,62,56,56,52,65,73,54,69
RDD,FT,East Of England,Basildon & Thurrock University Hospitals,17,17,23,19,24,25,29,21,11,17,21,18,22
RC1,--,East Of England,Bedford Hospital,7,10,9,18,11,13,16,16,13,12,16,12,12
RQ3,FT,West Midlands,Birmingham Women's and Children's,3,6,4,3,3,2,4,4,4,0,7,2,8
RXL,FT,North West,Blackpool Teaching Hospitals,40,25,22,22,20,20,23,16,24,29,28,21,21
RMC,FT,North West,Bolton,25,24,27,26,19,28,19,29,22,22,24,24,21
RAE,FT,Yorkshire And Humber,Bradford Teaching Hospitals,26,29,24,43,23,16,25,18,19,15,16,14,15
RXH,--,South East,Brighton & Sussex University Hospitals,20,25,20,27,26,18,23,24,17,19,22,22,20
RXQ,--,South East,Buckinghamshire Healthcare,12,30,27,23,18,16,26,17,17,18,18,17,14
RJF,FT,West Midlands,Burton Hospitals,10,7,9,12,10,12,14,5,9,7,13,8,11
RWY,FT,Yorkshire And Humber,Calderdale & Huddersfield,22,25,29,19,25,32,23,26,28,18,21,21,25
RGT,FT,East Of England,Cambridge University Hospitals,27,24,20,38,22,29,24,34,20,29,23,32,22
RW3,FT,North West,Central Manchester University Hospitals,26,31,32,24,26,29,28,27,19,20,22,15,18
RQM,FT,London,Chelsea & Westminster Hospital,23,24,28,28,23,26,26,19,29,26,28,22,27
RFS,FT,East Midlands,Chesterfield Royal Hospital,18,31,26,22,20,25,14,27,21,20,15,26,26
RLN,FT,North East,City Hospitals Sunderland,24,28,25,29,27,29,19,24,23,29,27,24,22
RDE,FT,East Of England,Colchester Hospital University,29,25,23,31,31,31,17,19,21,19,26,16,25
RJR,FT,North West,Countess of Chester Hospital,10,16,17,25,25,18,13,13,11,12,14,17,13
RXP,FT,North East,County Durham & Darlington,25,26,45,41,38,33,24,26,36,32,21,28,41
RJ6,--,London,Croydon Health Services,14,15,20,14,13,18,23,20,14,14,24,15,10
RN7,--,South East,Dartford & Gravesham,28,25,10,21,19,16,12,22,18,23,14,23,25
RTG,FT,East Midlands,Derby Hospitals,38,39,41,37,43,54,36,30,45,32,37,37,32
RP5,FT,Yorkshire And Humber,Doncaster & Bassetlaw Hospitals,33,30,41,40,38,24,26,29,32,29,22,19,36
RBD,FT,South West,Dorset County Hospital,13,15,15,17,9,4,9,9,11,8,13,16,12
RWH,--,East Of England,East & North Hertfordshire,21,26,25,20,23,30,24,22,26,19,17,23,27
RJN,--,North West,East Cheshire,8,10,15,12,18,16,13,8,19,5,13,14,13
RVV,FT,South East,East Kent Hospitals University,56,45,52,51,44,51,53,54,52,45,61,47,57
RXR,--,North West,East Lancashire Hospitals,39,32,30,40,34,35,34,33,31,46,37,44,42
RXC,--,South East,East Sussex Healthcare,27,24,27,32,27,31,28,29,32,22,33,32,32
RVR,--,London,Epsom & St Helier University Hospitals,29,35,28,26,22,24,19,19,26,23,17,18,18
RDU,FT,South East,Frimley Health,53,47,54,56,56,60,39,62,40,48,51,62,53
RR7,FT,North East,Gateshead Health,13,17,14,12,18,15,12,16,13,19,18,17,29
RLT,--,West Midlands,George Eliot Hospital,12,13,18,14,8,14,9,12,20,12,5,18,8
RTE,FT,South West,Gloucestershire Hospitals,28,24,30,30,21,23,13,13,16,23,27,27,15
RP4,FT,London,Great Ormond Street Hospital for Children,3,3,4,2,0,3,0,2,1,1,1,3,1
RN3,FT,South West,Great Western Hospitals,24,14,23,31,22,26,21,22,17,20,18,19,20
RJ1,FT,London,Guy's & St. Thomas',26,20,19,27,19,16,25,14,20,24,35,17,33
RN5,FT,South East,Hampshire Hospitals,15,22,23,25,21,12,23,20,18,15,24,20,10
RCD,FT,Yorkshire And Humber,Harrogate & District,9,7,9,11,14,12,7,15,12,12,13,10,12
RR1,FT,West Midlands,Heart of England,57,50,52,53,48,40,50,42,48,52,44,42,56
RQX,FT,London,Homerton University Hospital,7,8,11,13,12,19,12,4,10,8,7,13,10
RWA,--,Yorkshire And Humber,Hull & East Yorkshire Hospitals,39,26,34,50,38,47,39,29,25,38,37,29,31
RYJ,--,London,Imperial College Healthcare,37,38,34,32,32,38,30,21,34,36,25,36,25
RGQ,--,East Of England,Ipswich Hospital,11,17,23,19,14,23,19,14,16,8,21,27,21
R1F,--,South East,Isle of Wight,10,10,11,9,14,9,13,11,11,11,11,9,10
RGP,FT,East Of England,James Paget University Hospitals,22,15,18,16,19,24,16,9,13,19,10,19,23
RNQ,FT,East Midlands,Kettering General Hospital,22,23,24,24,19,11,22,29,19,17,18,23,20
RJZ,FT,London,King's College Hospital,40,44,45,35,59,41,43,36,26,41,40,40,41
RAX,FT,London,Kingston Hospital,18,14,20,12,14,10,12,17,15,16,12,14,14
RXN,FT,North West,Lancashire Teaching Hospitals,28,28,29,23,32,26,16,18,28,24,23,36,26
RR8,--,Yorkshire And Humber,Leeds Teaching Hospitals,64,54,64,59,19,37,68,64,54,67,63,56,42
RJ2,--,London,Lewisham & Greenwich,29,34,39,50,32,40,36,30,25,24,37,26,33
RBQ,FT,North West,Liverpool Heart & Chest Hospital,0,0,2,1,0,1,0,1,3,0,1,1,1
REP,FT,North West,Liverpool Women's,1,1,1,1,1,3,5,3,6,0,2,1,3
R1K,--,London,London North West Healthcare,44,47,45,40,42,38,38,32,40,42,41,39,30
RC9,FT,East Of England,Luton & Dunstable University Hospital,18,17,18,18,15,12,17,21,17,13,20,13,12
RWF,--,South East,Maidstone & Tunbridge Wells,27,31,32,32,32,29,23,23,24,33,40,23,30
RPA,FT,South East,Medway,28,33,24,32,27,28,21,24,24,24,27,23,19
RBT,FT,North West,Mid Cheshire Hospitals,14,15,11,17,20,10,9,17,11,15,20,19,31
RQ8,--,East Of England,Mid Essex Hospital Services,15,23,16,24,16,17,15,14,16,21,17,16,17
RXF,--,Yorkshire And Humber,Mid Yorkshire Hospitals,53,42,36,29,31,42,32,34,35,23,32,35,29
RD8,FT,East Of England,Milton Keynes University Hospital,12,17,20,21,14,21,20,15,15,21,18,21,13
RP6,FT,London,Moorfields Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RM1,FT,East Of England,Norfolk & Norwich University Hospitals,31,29,40,41,24,34,33,29,26,23,36,29,24
RVJ,--,South West,North Bristol,21,38,24,25,21,13,20,26,28,21,17,31,23
RNL,--,North West,North Cumbria University Hospitals,22,20,24,19,17,25,16,16,15,21,22,18,23
RAP,--,London,North Middlesex University Hospital,19,12,13,12,17,21,19,17,19,22,20,21,37
RVW,FT,North East,North Tees & Hartlepool,23,17,22,28,30,25,36,22,26,30,33,26,21
RGN,FT,East Of England,North West Anglia,24,19,28,33,19,27,34,39,34,26,26,25,25
RNS,--,East Midlands,Northampton General Hospital,22,15,23,22,25,21,17,24,18,27,22,19,29
RBZ,--,South West,Northern Devon Healthcare,21,17,12,17,11,11,11,13,13,16,11,10,15
RJL,FT,Yorkshire And Humber,Northern Lincolnshire & Goole,24,26,31,35,20,20,27,13,26,36,24,28,25
RTF,FT,North East,Northumbria Healthcare,34,43,40,40,29,51,28,26,35,36,32,39,31
RX1,--,East Midlands,Nottingham University Hospitals,64,66,58,84,74,69,65,70,67,71,64,62,69
RTH,FT,South East,Oxford University Hospitals,32,44,53,35,45,51,37,46,47,30,41,45,42
RGM,FT,East Of England,Papworth Hospital,1,0,2,2,0,2,2,0,0,0,3,0,1
RW6,--,North West,Pennine Acute Hospitals,33,45,44,47,46,37,39,52,29,33,47,45,25
RK9,--,South West,Plymouth Hospitals,22,23,40,28,28,37,31,35,27,24,29,24,32
RD3,FT,South West,Poole Hospital,25,21,16,14,21,19,21,20,7,18,17,17,16
RHU,--,South East,Portsmouth Hospitals,29,38,41,32,42,27,31,31,26,33,28,35,30
RPC,FT,South East,Queen Victoria Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0
RHW,FT,South East,Royal Berkshire,25,22,31,22,24,27,17,22,19,25,22,37,27
RT3,FT,London,Royal Brompton & Harefield,2,1,1,0,2,2,0,0,0,0,1,2,2
REF,--,South West,Royal Cornwall Hospitals,21,27,22,17,23,29,24,25,32,17,28,15,27
RH8,FT,South West,Royal Devon & Exeter,15,16,19,26,23,20,31,18,26,14,19,21,29
RAL,FT,London,Royal Free London,37,45,37,46,37,59,27,38,29,34,37,35,33
RQ6,--,North West,Royal Liverpool & Broadgreen University Hospitals,25,23,25,19,32,34,35,30,29,33,32,29,35
RAN,--,London,Royal National Orthopaedic Hospital,1,1,2,0,0,0,0,0,0,0,1,0,0
RA2,FT,South East,Royal Surrey County Hospital,18,20,20,20,14,16,12,9,16,8,17,11,16
RD1,FT,South West,Royal United Hospitals Bath,24,26,24,23,33,19,30,32,31,17,25,19,18
RM3,FT,North West,Salford Royal,17,20,18,20,24,15,15,25,22,14,20,23,23
RNZ,FT,South West,Salisbury,6,8,13,8,12,14,14,11,6,12,7,9,9
RXK,--,West Midlands,Sandwell & West Birmingham Hospitals,17,31,22,17,18,22,23,15,18,11,20,16,16
RCU,FT,Yorkshire And Humber,Sheffield Children's,3,1,1,3,0,2,1,0,1,1,2,1,2
RHQ,FT,Yorkshire And Humber,Sheffield Teaching Hospitals,50,54,60,49,68,43,59,55,56,61,50,42,54
RK5,FT,East Midlands,Sherwood Forest Hospitals,35,18,33,31,20,26,31,28,30,20,36,20,26
RXW,--,West Midlands,Shrewsbury & Telford Hospital,29,13,27,45,27,31,30,22,27,25,25,25,19
RTR,FT,North East,South Tees Hospitals,38,45,39,43,36,40,35,33,30,34,35,44,39
RE9,FT,North East,South Tyneside,14,14,10,10,11,6,15,14,12,8,14,6,14
RJC,FT,West Midlands,South Warwickshire,17,14,16,12,10,14,23,18,10,9,11,24,17
RAJ,FT,East Of England,Southend University Hospital,12,19,21,21,28,36,22,28,17,19,17,19,21
RVY,--,North West,Southport & Ormskirk Hospital,20,15,26,21,12,22,13,10,17,13,12,14,24
RJ7,FT,London,St. George's University Hospitals,20,27,22,20,21,15,27,11,24,27,32,25,12
RBN,--,North West,St. Helens & Knowsley Hospitals,25,35,38,33,22,28,27,28,29,27,23,18,26
RWJ,FT,North West,Stockport,17,22,22,22,26,23,28,15,19,17,12,19,19
RTP,--,South East,Surrey & Sussex Healthcare,30,23,34,23,25,32,25,26,24,16,29,28,30
RMP,FT,North West,Tameside Hospital,14,15,17,19,19,15,10,16,10,12,12,23,11
RBA,FT,South West,Taunton & Somerset,22,22,22,26,26,20,22,27,20,14,21,20,23
RBV,FT,North West,The Christie Hospital,5,2,3,1,5,8,3,9,4,4,9,7,3
REN,FT,North West,The Clatterbridge Cancer Centre,1,1,0,1,0,0,0,0,0,0,0,0,0
RNA,FT,West Midlands,The Dudley Group,23,28,22,28,29,26,20,26,24,21,25,16,27
RAS,FT,London,The Hillingdon Hospitals,19,25,15,17,17,20,14,14,16,19,18,16,31
RTD,FT,North East,The Newcastle upon Tyne Hospitals,44,48,28,27,36,28,36,41,32,37,33,31,37
RQW,--,East Of England,The Princess Alexandra Hospital,10,19,9,26,14,13,10,12,14,18,18,13,10
RCX,FT,East Of England,The Queen Elizabeth Hospital King's Lynn,11,21,24,16,21,20,15,22,20,17,21,18,18
RL1,FT,West Midlands,The Robert Jones & Agnes Hunt Orthopaedic Hospital,1,0,0,0,2,0,0,1,1,0,0,0,0
RFR,FT,Yorkshire And Humber,The Rotherham,22,11,20,20,17,18,20,16,19,17,13,17,15
RDZ,FT,South West,The Royal Bournemouth & Christchurch Hospitals,28,20,45,35,33,30,23,23,23,21,25,21,34
RPY,FT,London,The Royal Marsden,7,3,5,3,5,5,4,5,1,2,7,3,6
RRJ,FT,West Midlands,The Royal Orthopaedic Hospital,0,0,0,0,0,0,0,0,0,1,0,0,1
RL4,--,West Midlands,The Royal Wolverhampton,22,21,33,33,25,28,24,24,21,24,28,33,26
RET,FT,North West,The Walton Centre,2,0,4,2,1,0,0,1,0,2,3,0,3
RKE,--,London,The Whittington Hospital,11,6,12,15,14,12,13,20,9,14,7,13,14
RA9,FT,South West,Torbay and South Devon Healthcare,15,13,30,26,19,16,23,24,16,17,17,17,18
RWD,--,East Midlands,United Lincolnshire Hospitals,24,31,31,31,31,42,34,30,27,34,31,33,30
RRV,FT,London,University College London Hospitals,24,28,30,24,27,26,25,26,21,17,21,18,26
RM2,FT,North West,University Hospital of South Manchester,20,20,27,24,23,19,13,13,19,12,17,17,22
RHM,FT,South East,University Hospital Southampton,25,24,26,23,17,23,33,23,25,24,26,28,22
RRK,FT,West Midlands,University Hospitals Birmingham,27,29,44,32,30,21,34,22,31,29,29,37,30
RA7,FT,South West,University Hospitals Bristol,20,19,19,18,19,19,20,16,17,21,24,23,25
RKB,--,West Midlands,University Hospitals Coventry & Warwickshire,31,22,29,29,36,33,31,32,21,22,25,22,41
RWE,--,East Midlands,University Hospitals of Leicester,45,36,39,62,64,56,44,48,49,53,53,47,45
RTX,FT,North West,University Hospitals of Morecambe Bay,27,20,19,31,18,22,16,21,18,13,20,27,23
RJE,--,West Midlands,University Hospitals of North Midlands,61,50,58,57,55,55,55,48,61,39,61,39,44
RBK,--,West Midlands,Walsall Healthcare,12,10,10,14,8,12,6,13,9,9,13,13,12
RWW,FT,North West,Warrington & Halton Hospitals,14,14,11,22,13,16,21,16,16,12,17,21,16
RWG,--,East Of England,West Hertfordshire Hospitals,14,14,24,15,17,15,19,21,20,18,18,18,14
RGR,FT,East Of England,West Suffolk,8,14,15,21,26,15,16,16,19,9,15,12,11
RYR,FT,South East,Western Sussex Hospitals,26,28,36,37,44,39,28,26,35,33,40,30,28
RA3,--,South West,Weston Area Health,13,9,10,14,11,12,11,9,14,7,8,15,4
RBL,FT,North West,Wirral University Teaching Hospital,31,17,22,27,20,20,27,21,10,20,20,18,21
RWP,--,West Midlands,Worcestershire Acute Hospitals,30,35,25,35,27,39,34,29,25,26,36,30,31
RRF,FT,North West,"Wrightington, Wigan & Leigh",15,12,12,13,12,17,15,14,15,12,12,16,20
RLQ,--,West Midlands,Wye Valley,11,6,12,14,6,6,5,9,10,3,11,7,12
RA4,FT,South West,Yeovil District Hospital,20,13,17,16,23,16,18,12,15,6,14,15,13
RCB,FT,Yorkshire And Humber,York Teaching Hospital,26,41,60,50,48,38,50,33,42,46,42,49,44
